Node	dA	dPC	dPCintra	dPCflux	dPCconnector	
254	0.2313040	0.1660918	0.0081810	0.1321461	0.0257647	
255	0.1331832	0.0854976	0.0027123	0.0791623	0.0036229	
256	0.1851873	0.1789495	0.0052440	0.1084744	0.0652311	
257	0.0018584	0.0011885	0.0000005	0.0011879	0.0000000	
258	0.0983761	0.0370128	0.0014799	0.0315377	0.0039953	
259	0.0917350	0.0559330	0.0012868	0.0546461	0.0000000	
260	0.0128309	0.0084342	0.0000252	0.0044086	0.0040004	
261	0.0050505	0.0023498	0.0000039	0.0023459	0.0000000	
262	0.1396279	0.1189087	0.0029812	0.0837107	0.0322168	
263	0.0724833	0.0370505	0.0008034	0.0328392	0.0034080	
264	0.0974910	0.1085332	0.0014534	0.0598806	0.0471992	
265	0.0432763	0.0098965	0.0002864	0.0081584	0.0014517	
266	0.0187121	0.0028873	0.0000535	0.0028338	0.0000000	
267	0.0460483	0.0333249	0.0003242	0.0258072	0.0071934	
268	0.1094106	0.0175190	0.0018305	0.0156108	0.0000777	
269	0.0159218	0.0235126	0.0000388	0.0092179	0.0142559	
270	0.1993940	0.1065168	0.0060795	0.0841693	0.0162679	
271	0.0400255	0.0368260	0.0002450	0.0232864	0.0132947	
272	0.1535447	0.0880219	0.0036051	0.0838612	0.0005556	
273	0.4315068	0.2521625	0.0284720	0.2057932	0.0178973	
274	0.0789305	0.0163603	0.0009526	0.0139988	0.0014088	
275	0.1980989	0.0745889	0.0060008	0.0584400	0.0101481	
276	0.0595812	0.0405104	0.0005428	0.0328861	0.0070814	
277	0.0869355	0.0584531	0.0011557	0.0434573	0.0138401	
278	0.1306247	0.1095959	0.0026091	0.0644498	0.0425370	
279	0.0445560	0.0229845	0.0003036	0.0120986	0.0105823	
280	0.0096277	0.0038826	0.0000142	0.0038684	0.0000000	
281	0.0271693	0.0096991	0.0001129	0.0095830	0.0000032	
282	0.0050796	0.0021155	0.0000039	0.0021116	0.0000000	
283	0.0021870	0.0008145	0.0000007	0.0007545	0.0000592	
284	0.0213149	0.0284070	0.0000695	0.0084085	0.0199290	
285	0.0345693	0.0156443	0.0001827	0.0111603	0.0043012	
286	0.0320448	0.0219681	0.0001570	0.0133352	0.0084759	
287	0.0932875	0.0333179	0.0013307	0.0224292	0.0095580	
288	0.0112568	0.0046317	0.0000194	0.0046123	0.0000000	
289	0.0292248	0.0261901	0.0001306	0.0107330	0.0153265	
290	0.0139105	0.0059010	0.0000296	0.0058714	0.0000000	
291	0.0174634	0.0085237	0.0000466	0.0084771	0.0000000	
292	0.1404808	0.0504316	0.0030177	0.0473709	0.0000429	
293	0.0225110	0.0176924	0.0000775	0.0129796	0.0046352	
294	0.0537023	0.0273514	0.0004410	0.0205334	0.0063770	
295	0.0211710	0.0170515	0.0000685	0.0085771	0.0084059	
296	0.5166524	0.3551590	0.0408168	0.2349570	0.0793851	
297	0.0095227	0.0060658	0.0000139	0.0053557	0.0006962	
298	0.0123138	0.0029964	0.0000232	0.0029732	0.0000000	
299	0.0082005	0.0052801	0.0000103	0.0044791	0.0007907	
300	0.5302609	0.2655727	0.0429954	0.1997581	0.0228193	
301	0.4994632	0.2767492	0.0381460	0.2039358	0.0346673	
302	0.0019136	0.0009350	0.0000006	0.0008802	0.0000542	
303	0.0029768	0.0018882	0.0000014	0.0009663	0.0009205	
304	0.2468895	0.0937508	0.0093207	0.0637431	0.0206870	
305	0.0442875	0.0289389	0.0002999	0.0136981	0.0149409	
306	0.0462390	0.0234372	0.0003269	0.0220890	0.0010212	
307	0.0108760	0.0057777	0.0000181	0.0052892	0.0004703	
308	0.0690193	0.0240780	0.0007284	0.0233495	0.0000000	
309	0.0022391	0.0008225	0.0000008	0.0008218	0.0000000	
310	0.0388528	0.0176885	0.0002308	0.0174544	0.0000033	
311	0.0062407	0.0022363	0.0000060	0.0022279	0.0000024	
312	0.0387637	0.0109136	0.0002298	0.0106838	0.0000000	
313	0.0385719	0.0089397	0.0002275	0.0087122	0.0000000	
314	0.0015477	0.0002043	0.0000004	0.0002036	0.0000002	
315	0.0231247	0.0037841	0.0000818	0.0029592	0.0007431	
316	0.0114927	0.0025419	0.0000202	0.0025217	0.0000000	
317	0.0170664	0.0021878	0.0000445	0.0019711	0.0001721	
318	0.1170716	0.0279514	0.0020958	0.0238868	0.0019688	
319	0.0216515	0.0020222	0.0000717	0.0019505	0.0000000	
320	0.0407264	0.0046515	0.0002536	0.0043979	0.0000000	
321	0.0104411	0.0026159	0.0000167	0.0025993	0.0000000	
322	0.0211090	0.0145611	0.0000681	0.0081041	0.0063889	
323	0.0083814	0.0026138	0.0000107	0.0026031	0.0000000	
324	0.0073826	0.0118660	0.0000083	0.0030618	0.0087958	
325	0.4605714	0.2142284	0.0324367	0.1612784	0.0205134	
326	0.2375784	0.1143463	0.0086309	0.0985475	0.0071679	
327	0.0190785	0.0495585	0.0000557	0.0095345	0.0399683	
328	0.0308415	0.0171652	0.0001454	0.0170198	0.0000000	
329	0.2769149	0.2608416	0.0117256	0.1308228	0.1182932	
330	0.0455597	0.0261121	0.0003174	0.0252817	0.0005130	
331	0.0270443	0.0260217	0.0001118	0.0153440	0.0105658	
332	0.1049296	0.1185189	0.0016836	0.0572647	0.0595706	
333	0.2040361	0.2743035	0.0063658	0.1057015	0.1622361	
334	0.4146606	0.3735441	0.0262923	0.1902402	0.1570116	
335	0.0264261	0.1014497	0.0001068	0.0150967	0.0862462	
336	0.0475363	0.1182289	0.0003455	0.0260929	0.0917904	
337	0.0556996	0.1420393	0.0004744	0.0299216	0.1116433	
338	0.0328332	0.0194252	0.0001648	0.0188395	0.0004209	
339	1.3504690	0.5510251	0.2788762	0.2620509	0.0100980	
340	0.0292830	0.0107093	0.0001311	0.0105781	0.0000001	
341	0.0743306	0.0033845	0.0008448	0.0025397	0.0000000	
342	0.0162580	0.0211108	0.0000404	0.0210677	0.0000027	
343	0.0157345	0.0229998	0.0000379	0.0205942	0.0023678	
344	0.0190759	0.0632517	0.0000556	0.0631397	0.0000563	
345	0.0587283	0.1847230	0.0005274	0.1841956	0.0000000	
346	0.0262312	0.0831540	0.0001052	0.0740668	0.0089820	
347	0.0198583	0.0727307	0.0000603	0.0692996	0.0033707	
348	0.0232457	0.0451894	0.0000826	0.0451067	0.0000000	
349	0.0334259	0.1456662	0.0001708	0.1452767	0.0002186	
350	0.0255505	0.0979421	0.0000998	0.0728091	0.0250332	
351	0.0080789	0.0362167	0.0000100	0.0302905	0.0059162	
352	0.0035648	0.0153436	0.0000019	0.0153416	0.0000000	
353	0.0174542	0.0676616	0.0000466	0.0504270	0.0171880	
354	0.0381433	1.2323720	0.0002225	0.1749398	1.0572100	
355	0.0171180	0.0826059	0.0000448	0.0618406	0.0207205	
356	0.1165414	0.4500445	0.0020768	0.4479676	0.0000000	
357	0.0195206	0.0627850	0.0000583	0.0627267	0.0000000	
358	0.0124113	0.0346320	0.0000236	0.0346084	0.0000000	
359	0.1693445	0.6598648	0.0043852	0.6528046	0.0026751	
360	0.0108085	0.0317999	0.0000179	0.0317778	0.0000042	
361	0.0715845	0.3704036	0.0007836	0.3093074	0.0603127	
362	0.0424606	0.1580370	0.0002757	0.1371717	0.0205896	
363	0.0106367	0.0370539	0.0000173	0.0370366	0.0000000	
364	0.0165873	0.0508721	0.0000421	0.0508300	0.0000000	
365	0.0694348	0.2704431	0.0007372	0.2697059	0.0000000	
366	0.0134124	0.0557418	0.0000275	0.0557143	0.0000000	
367	0.0076345	0.0223339	0.0000089	0.0204116	0.0019134	
368	0.8729954	5.6416900	0.1165377	3.3019560	2.2231970	
369	0.0336224	0.4014038	0.0001729	0.1282051	0.2730258	
370	0.0091729	0.0202434	0.0000129	0.0202049	0.0000255	
371	0.1017894	0.6030803	0.0015843	0.4116101	0.1898859	
372	0.0032974	0.0133585	0.0000017	0.0131687	0.0001881	
373	0.0091849	0.0101379	0.0000129	0.0101250	0.0000000	
374	0.0293377	0.1480887	0.0001316	0.1428367	0.0051203	
375	0.1878649	0.8030650	0.0053968	0.5877511	0.2099171	
376	0.0051903	0.0205493	0.0000041	0.0205452	0.0000000	
377	0.0021164	0.0074268	0.0000007	0.0074261	0.0000000	
378	0.0225028	0.0866681	0.0000774	0.0655966	0.0209940	
379	0.0074606	0.0194024	0.0000085	0.0174760	0.0019179	
380	0.0193121	0.0859119	0.0000570	0.0784254	0.0074294	
381	1.0596080	4.9150820	0.1716852	3.7910970	0.9523000	
382	1.1606990	6.9925680	0.2060068	5.3523550	1.4342060	
383	0.0278791	0.1862594	0.0001189	0.1017907	0.0843498	
384	0.0017226	0.0060878	0.0000005	0.0058314	0.0002559	
385	0.0215479	0.0400123	0.0000710	0.0399413	0.0000000	
386	0.0378451	0.1783200	0.0002190	0.1271211	0.0509799	
387	0.0035444	0.0132305	0.0000019	0.0132285	0.0000000	
388	0.0016611	0.0052373	0.0000004	0.0052368	0.0000000	
389	0.0063749	0.0215324	0.0000062	0.0215262	0.0000000	
